,houseloc,houseage,housesize,unitprice,north_latitude,east_longitude,distance
80,大众春盛苑 ,2.70805020110221,4.575432367724135,10.107203606184239,31.135271000000003,121.581418,2.4062284837983663
81,万寿新村(青浦) ,3.044522437723423,4.225226615110005,10.109077944602749,31.202257,121.515245,1.3103148795669197
82,盈港新村 ,2.995732273553991,4.732771530581813,10.112369894498068,31.32095,121.469612,2.1669060254464347
83,紫薇茗庭 ,1.6094379124341003,4.420766462989812,10.112613312082134,31.143372,121.409384,2.1978318937331918
84,正阳世纪星城丽骏湾 ,2.1972245773362196,4.926093592219674,10.113221596940404,31.22424,121.55298,1.560683102420254
85,正阳世纪星城(绅鸿苑) ,2.5649493574615367,4.798266815950004,10.115206086180871,31.244384000000004,121.537783,1.4117130937554918
86,艺泰安邦 ,2.3978952727983707,4.710970604874303,10.11617664594648,31.156693,121.418999,2.0300231258553354
87,塔城路800弄 ,3.2188758248682006,4.2437698090420275,10.119888422982946,31.214962,121.438553,0.8335797989526617
88,佳乐苑 ,2.6390573296152584,4.823019748841191,10.120693511183584,31.210958,121.430992,1.057250939459966
89,翠苑(公寓) ,2.1972245773362196,4.504465481866459,10.12198030563491,31.284552,121.428861,1.7471123133824515
90,古华B区 ,3.258096538021482,4.2110900227464905,10.123225310715505,30.918159000000006,121.46875,3.3990891872496536
91,欣春苑 ,2.302585092994046,4.208119576480946,10.126191007021934,31.090494,121.247081,2.9156673525839243
92,文怡花园 ,3.091042453358316,4.30406509320417,10.126631103850338,31.20292,121.4743,0.9598131616647537
93,乐源城C区 ,2.5649493574615367,4.8118590992303405,10.1285891855565,31.13907,121.09232,3.1454555540849025
94,紫荆二村 ,3.1780538303479458,4.573576314396913,10.129825994746858,31.383097,121.225561,3.008249416445917
95,宜浩佳园 ,2.302585092994046,4.353369925424077,10.129985471662911,31.350263,121.423823,2.4716086048669808
96,保利湖畔阳光苑 ,1.9459101490553132,5.547518452181536,10.132096143281396,31.23527,121.57417,1.7849369892950233
97,佳乐苑 ,2.6390573296152584,4.865301189352582,10.135035686194149,31.263569,121.404152,1.5987818956107647
98,茉莉雅苑 ,1.9459101490553132,4.2626798770413155,10.135075350633,31.235290000000006,121.43471,0.7297903486662344
99,丽水豪庭 ,2.5649493574615367,5.286649561680354,10.136304168546024,31.104373,121.402379,2.5385379005010402
100,樱花小区 ,3.091042453358316,4.696107180980193,10.141874333263031,31.249781,121.397758,1.5117305574085413
101,文怡花园 ,2.70805020110221,4.681760788149804,10.145374346667474,31.293877,121.524399,1.9273916740171992
102,澳洲国际花园(公寓) ,2.6390573296152584,4.576770711466393,10.147021793498071,31.0555,121.409485,2.839279431828779
103,汇锦城二期 ,1.9459101490553132,4.433551152327272,10.147452819542636,31.10185,121.24706,2.872832569579791
104,红梅小区(嘉定) ,3.5553480614894135,3.8897773964808264,10.148901272496065,31.26376,121.47679,1.182949585958761
105,茉莉雅苑 ,1.9459101490553132,4.307168381129456,10.150230436100662,31.13952,121.40058,2.256008319105102
106,佘山家园 ,1.791759469228055,4.534962290944595,10.151869908713964,31.256502,121.347206,2.007853788088116
107,新南家园 ,2.772588722239781,4.784821514226167,10.155646068918863,31.202893,121.487905,1.0279209555843483
108,金都雅苑(公寓) ,2.6390573296152584,4.521462436914606,10.15696630364641,31.285892,121.120926,3.0256789106585895
109,解放新村 ,3.6635616461296463,3.880532338336775,10.158129770909708,31.256502,121.347206,2.007853788088116
110,新南家园 ,2.6390573296152584,4.466252886801422,10.160220606843893,31.202893,121.487905,1.0279209555843483
111,金都雅苑(公寓) ,2.6390573296152584,4.443004135397701,10.160993882477847,31.159963,121.37861200000002,2.1406958083867855
112,城东新村 ,3.4657359027997265,4.119037174812473,10.166505449493199,31.014618,121.40007,3.0472508537376166
113,听潮五村 ,3.2188758248682006,4.072439726834051,10.168348697202207,31.279396,121.131607,2.9888464875139387
114,佳兆业8号(公寓) ,1.3862943611198906,4.478926459413841,10.169499004077514,31.204739,121.461639,0.904801514243383
115,艺泰安邦 ,2.0794415416798357,4.5173220954148965,10.173667349851767,31.261841,121.426315,1.3718360396346525
116,月厦新天地 ,2.6390573296152584,3.9031840567609417,10.174697196419377,31.144829,121.325371,2.4519513294625694
117,新凯城尚樱苑 ,1.6094379124341003,4.308110951723713,10.1752307736864,31.191715,121.445732,1.3678885701068755
118,崧泽华城佳福雅苑 ,1.6094379124341003,4.322011202263895,10.176601523624978,31.1362,121.56398,2.3492499853228344
119,九华苑 ,2.70805020110221,4.514150787600923,10.176829799383084,31.18792,121.44679,1.447106190052991
120,航星二村 ,3.044522437723423,5.124202046301181,10.179716790941928,31.16285,121.49837,1.8940348328353365
121,金都雅苑(公寓) ,2.6390573296152584,4.441356300749876,10.180664640342762,31.27286,121.40235,1.7297131066943872
122,海馨苑 ,2.4849066497880004,4.072439726834051,10.181346536039147,31.233873,121.48558,-0.03795924605912674
123,竹园公寓 ,3.044522437723423,4.466712392840524,10.181725166159909,31.28211,121.59922,2.186472674955711
124,青水湾公寓 ,2.5649493574615367,4.8118590992303405,10.182330676320705,31.017344,121.202652,3.2377112487076514
125,九华苑 ,2.70805020110221,4.471638793363569,10.18546588957123,31.065599,121.522301,2.776430326930077
126,宜浩佳园 ,2.302585092994046,4.418358563921272,10.18561673619821,31.15795,121.42615,1.9953188627832232
127,马桥景城馨苑 ,1.6094379124341003,4.371723741677985,10.185729856237545,31.158990000000006,121.5025,1.9550375536688602
128,佘山家园 ,1.791759469228055,4.544889255103161,10.186935674455848,31.12781,121.21946,2.852193622982584
129,汇锦城(一期) ,2.0794415416798357,5.130963236875869,10.188628900078157,31.143173,121.544586,2.236123183001338
130,新南家园 ,2.5649493574615367,4.581594449459386,10.189455656983572,31.14835,121.1346,3.0283109595307964
131,崧泽华城佳福雅苑 ,1.6094379124341003,4.312140507209715,10.191519563752196,31.153949,121.154898,2.964653490550115
132,百合苑(公寓) ,2.5649493574615367,4.6135351023197195,10.195261242891162,31.01195,121.19027,3.2700910853768836
133,高昌路105弄 ,3.091042453358316,4.605969866158656,10.195373277248482,31.00898,121.41968,3.0639004555547578
134,正阳世纪星城行知苑 ,2.6390573296152584,4.796534070766275,10.196418326423577,31.139578000000004,121.388911,2.2858834657577836
135,月厦新天地 ,2.6390573296152584,4.233961566558017,10.196754003281809,31.13415,121.08526,3.1689455351801104
136,东江小区 ,3.258096538021482,4.473009282385752,10.196940441748334,30.902063,121.463234,3.449489458018276
